reestr_number,href,stage,description,price,order_number
3861901488521000066,/epz/contract/contractCard/common-info.html?reestrNumber=3861901488521000066,Исполнение завершено,"№ 
                                        
                                        01873000017210000940001","130 539,99 ₽",187300001721000094
2890101721221000019,/epz/contract/contractCard/common-info.html?reestrNumber=2890101721221000019,Исполнение завершено,"№ 
                                        
                                        26-2021","361 593,75 ₽",190200000321002440
3861400732321000004,/epz/contract/contractCard/common-info.html?reestrNumber=3861400732321000004,Исполнение,"№ 
                                        
                                        55/21","7 300 000,00 ₽",187300003221000054
2673200542421000001,/epz/contract/contractCard/common-info.html?reestrNumber=2673200542421000001,Исполнение,"№ 
                                        
                                        001","230 000,00 ₽",163200000321001254
1784246167921000300,/epz/contract/contractCard/common-info.html?reestrNumber=1784246167921000300,Исполнение,"№ 
                                        
                                        84/2021-ЭА","5 641 650,00 ₽",372100052921000089
1781502228821000087,/epz/contract/contractCard/common-info.html?reestrNumber=1781502228821000087,Исполнение,"№ 
                                        
                                        17-21/ЭА","300 000,00 ₽",372100033821000037
1770540134021001500,/epz/contract/contractCard/common-info.html?reestrNumber=1770540134021001500,Исполнение,"№ 
                                        
                                        0373100128521000141","180 000 000,00 ₽",373100128521000141
2753601057121000006,/epz/contract/contractCard/common-info.html?reestrNumber=2753601057121000006,Исполнение завершено,"№ 
                                        
                                        2386-ЭА","1 000 000,00 ₽",891200000621002301
2623411959521000006,/epz/contract/contractCard/common-info.html?reestrNumber=2623411959521000006,Исполнение завершено,"№ 
                                        
                                        18/2021","1 969 933,33 ₽",859200001121002143
2771402996021000038,/epz/contract/contractCard/common-info.html?reestrNumber=2771402996021000038,Исполнение завершено,"№ 
                                        
                                        0373200020221000032_49674","4 496 666,67 ₽",373200020221000032
2770376666621000010,/epz/contract/contractCard/common-info.html?reestrNumber=2770376666621000010,Исполнение завершено,"№ 
                                        
                                        27-03/21","934 249,00 ₽",173500000421000026
1732500169821000017,/epz/contract/contractCard/common-info.html?reestrNumber=1732500169821000017,Исполнение завершено,"№ 
                                        
                                        0368100013821000003","620 000,00 ₽",368100013821000003
1770989550921002362,/epz/contract/contractCard/common-info.html?reestrNumber=1770989550921002362,Исполнение завершено,"№ 
                                        
                                        ФКУ0121/04/2021/РИС","134 900 000,00 ₽",895100000121000028
1590229380521000094,/epz/contract/contractCard/common-info.html?reestrNumber=1590229380521000094,Исполнение прекращено,"№ 
                                        
                                        92","1 444 866,33 ₽",356100029621000024
2165904802021000077,/epz/contract/contractCard/common-info.html?reestrNumber=2165904802021000077,Исполнение,"№ 
                                        
                                        013","1 562 100,00 ₽",311200046521000013
2890101740621000004,/epz/contract/contractCard/common-info.html?reestrNumber=2890101740621000004,Исполнение,"№ 
                                        
                                        89-09-01-13/22 ДЭ","6 883 500,00 ₽",190200000321002636
2526094147121000007,/epz/contract/contractCard/common-info.html?reestrNumber=2526094147121000007,Исполнение,"№ 
                                        
                                        3ЭК-21","13 739 239,00 ₽",832200006621000136
2470312595621000021,/epz/contract/contractCard/common-info.html?reestrNumber=2470312595621000021,Исполнение завершено,"№ 
                                        
                                        1404","55 000 000,00 ₽",145200000421000272
2450112538221000012,/epz/contract/contractCard/common-info.html?reestrNumber=2450112538221000012,Исполнение завершено,"№ 
                                        
                                        08435000002210006480001","106 133,34 ₽",843500000221000648
2332802376621000007,/epz/contract/contractCard/common-info.html?reestrNumber=2332802376621000007,Исполнение,"№ 
                                        
                                        0128200000121001979_354822","6 000 000,00 ₽",128200000121001979
2614101896421000017,/epz/contract/contractCard/common-info.html?reestrNumber=2614101896421000017,Исполнение,"№ 
                                        
                                        124/ЭА","181 287,00 ₽",358200027321000013
2782566168521000154,/epz/contract/contractCard/common-info.html?reestrNumber=2782566168521000154,Исполнение,"№ 
                                        
                                        0372200168121000091-01","1 299 600,00 ₽",372200168121000091
2614001853821000022,/epz/contract/contractCard/common-info.html?reestrNumber=2614001853821000022,Исполнение,"№ 
                                        
                                        03582000166210000170001","311 334,00 ₽",358200016621000017
1253900832421000027,/epz/contract/contractCard/common-info.html?reestrNumber=1253900832421000027,Исполнение,"№ 
                                        
                                        008-А/21","790 889,40 ₽",320400000421000012
3165515110821000022,/epz/contract/contractCard/common-info.html?reestrNumber=3165515110821000022,Исполнение завершено,"№ 
                                        
                                        2021.1","882 000,00 ₽",811300008321000093
1770153780821000028,/epz/contract/contractCard/common-info.html?reestrNumber=1770153780821000028,Исполнение,"№ 
                                        
                                        Ф-12-кс-2021","19 300 000,00 ₽",173100003121000007
2860200080621000074,/epz/contract/contractCard/common-info.html?reestrNumber=2860200080621000074,Исполнение завершено,"№ 
                                        
                                        0013","2 550 000,00 ₽",387200000321000013
1504003671821000018,/epz/contract/contractCard/common-info.html?reestrNumber=1504003671821000018,Исполнение завершено,"№ 
                                        
                                        0348100029721000021","989 457,66 ₽",348100029721000021
1781502228821000088,/epz/contract/contractCard/common-info.html?reestrNumber=1781502228821000088,Исполнение,"№ 
                                        
                                        65-21/ЭА","750 000,00 ₽",372100033821000042
2165542739521000041,/epz/contract/contractCard/common-info.html?reestrNumber=2165542739521000041,Исполнение,"№ 
                                        
                                        2021.010","3 840 931,50 ₽",811500001121000010
2583706156921000003,/epz/contract/contractCard/common-info.html?reestrNumber=2583706156921000003,Исполнение,"№ 
                                        
                                        16-ГУ","2 006 130,00 ₽",855200000521000431
1770989550921002489,/epz/contract/contractCard/common-info.html?reestrNumber=1770989550921002489,Исполнение,"№ 
                                        
                                        ФКУ0133/05/2021/РИС","7 228 333,00 ₽",895100000121000030
2344416428521000012,/epz/contract/contractCard/common-info.html?reestrNumber=2344416428521000012,Исполнение завершено,"№ 
                                        
                                        43-21","1 144 500,00 ₽",129200005321000465
3450116154221000003,/epz/contract/contractCard/common-info.html?reestrNumber=3450116154221000003,Исполнение,"№ 
                                        
                                        2-2021","170 000,00 ₽",843500000221000704
2470312595621000020,/epz/contract/contractCard/common-info.html?reestrNumber=2470312595621000020,Исполнение завершено,"№ 
                                        
                                        2305","24 000 000,00 ₽",145200000421000294
2623411959521000007,/epz/contract/contractCard/common-info.html?reestrNumber=2623411959521000007,Исполнение прекращено,"№ 
                                        
                                        20/2021","6 510 000,00 ₽",859200001121002380
1770153780821000029,/epz/contract/contractCard/common-info.html?reestrNumber=1770153780821000029,Исполнение,"№ 
                                        
                                        Ф-13-кс-2021","16 500 000,00 ₽",173100003121000008
2732505661921000072,/epz/contract/contractCard/common-info.html?reestrNumber=2732505661921000072,Исполнение завершено,"№ 
                                        
                                        0168500000621000808","2 985 000,00 ₽",168500000621000808
2183107289521000010,/epz/contract/contractCard/common-info.html?reestrNumber=2183107289521000010,Исполнение завершено,"№ 
                                        
                                        0813500000121003060","20 591,00 ₽",813500000121003060
2890101721221000020,/epz/contract/contractCard/common-info.html?reestrNumber=2890101721221000020,Исполнение завершено,"№ 
                                        
                                        28-2021","1 050 000,00 ₽",190200000321003006
