reestr_number,href,stage,description,price,order_number
2552300339721000006,/epz/contract/contractCard/common-info.html?reestrNumber=2552300339721000006,Исполнение,"№ 
                                        
                                        Ф.2021.02","136 194,00 ₽",352200005921000002
2782546674021000030,/epz/contract/contractCard/common-info.html?reestrNumber=2782546674021000030,Исполнение завершено,"№ 
                                        
                                        28865","356 000,00 ₽",345200008721000005
1770656053621000014,/epz/contract/contractCard/common-info.html?reestrNumber=1770656053621000014,Исполнение прекращено,"№ 
                                        
                                        0006-16-21","7 000 000,00 ₽",173100010921000006
1770656053621000016,/epz/contract/contractCard/common-info.html?reestrNumber=1770656053621000016,Исполнение завершено,"№ 
                                        
                                        0007-01-21","15 000 000,00 ₽",173100010921000007
2771482395821000009,/epz/contract/contractCard/common-info.html?reestrNumber=2771482395821000009,Исполнение,"№ 
                                        
                                        69-Р-019/21","14 520 588,00 ₽",873500000621000001
3590200083321000001,/epz/contract/contractCard/common-info.html?reestrNumber=3590200083321000001,Исполнение завершено,"№ 
                                        
                                        13-03-22/30","1 300 000,00 ₽",156300065621000003
2502412946821000026,/epz/contract/contractCard/common-info.html?reestrNumber=2502412946821000026,Исполнение,"№ 
                                        
                                        26/21","2 875 000,00 ₽",148200004921000001
2263621016621000002,/epz/contract/contractCard/common-info.html?reestrNumber=2263621016621000002,Исполнение,"№ 
                                        
                                        12","1 933 890,00 ₽",121200004721000029
2170105135821000002,/epz/contract/contractCard/common-info.html?reestrNumber=2170105135821000002,Исполнение завершено,"№ 
                                        
                                        2021.000118","8 103 150,00 ₽",112200000821000118
3666100466121000014,/epz/contract/contractCard/common-info.html?reestrNumber=3666100466121000014,Исполнение завершено,"№ 
                                        
                                        ЗК-4/2021","300 000,00 ₽",162300005321000084
2150100754521000001,/epz/contract/contractCard/common-info.html?reestrNumber=2150100754521000001,Исполнение,"№ 
                                        
                                        0310200000321000061_172997","14 736 400,00 ₽",310200000321000061
2753609523021000002,/epz/contract/contractCard/common-info.html?reestrNumber=2753609523021000002,Исполнение,"№ 
                                        
                                        2021.02","31 982 600,00 ₽",891200000621000267
3525300103621000029,/epz/contract/contractCard/common-info.html?reestrNumber=3525300103621000029,Исполнение завершено,"№ 
                                        
                                        29/21","2 700 000,00 ₽",132300007521000021
1772939259921000003,/epz/contract/contractCard/common-info.html?reestrNumber=1772939259921000003,Исполнение,"№ 
                                        
                                        1/ЭК-21","48 552 140,00 ₽",373100018221000002
2552100647321000001,/epz/contract/contractCard/common-info.html?reestrNumber=2552100647321000001,Исполнение,"№ 
                                        
                                        Ф.2021.1202","168 324,00 ₽",352200005721000001
2553700797021000007,/epz/contract/contractCard/common-info.html?reestrNumber=2553700797021000007,Исполнение,"№ 
                                        
                                        Ф.2021.110221","136 194,00 ₽",352200006721000003
3861901488521000033,/epz/contract/contractCard/common-info.html?reestrNumber=3861901488521000033,Исполнение,"№ 
                                        
                                        01873000017210000110001","809 193,30 ₽",187300001721000011
1710702618821000041,/epz/contract/contractCard/common-info.html?reestrNumber=1710702618821000041,Исполнение,"№ 
                                        
                                        0266100000321000010","2 637 900,00 ₽",266100000321000010
2550307934121000010,/epz/contract/contractCard/common-info.html?reestrNumber=2550307934121000010,Исполнение,"№ 
                                        
                                        Ф.2021.0001","306 049,82 ₽",152200001121000001
1770216661021000013,/epz/contract/contractCard/common-info.html?reestrNumber=1770216661021000013,Исполнение завершено,"№ 
                                        
                                        16-04р-21-2817","10 466 500,00 ₽",173100008721000003
