reestr_number,href,stage,description,price,order_number
2890101721221000025,/epz/contract/contractCard/common-info.html?reestrNumber=2890101721221000025,Исполнение завершено,"№ 
                                        
                                        32-2021","196 000,00 ₽",190200000321003540
2602702589221000004,/epz/contract/contractCard/common-info.html?reestrNumber=2602702589221000004,Исполнение,"№ 
                                        
                                        005","5 080 700,00 ₽",157200000321000328
1770216661021000018,/epz/contract/contractCard/common-info.html?reestrNumber=1770216661021000018,Исполнение завершено,"№ 
                                        
                                        16-04р-21-2827","4 680 000,00 ₽",173100008721000010
2032308228021000098,/epz/contract/contractCard/common-info.html?reestrNumber=2032308228021000098,Исполнение завершено,"№ 
                                        
                                        0102200001621001251","682 500,00 ₽",102200001621001251
2890101721221000023,/epz/contract/contractCard/common-info.html?reestrNumber=2890101721221000023,Исполнение завершено,"№ 
                                        
                                        31-2021","1 564 485,00 ₽",190200000321003558
2470307759721000019,/epz/contract/contractCard/common-info.html?reestrNumber=2470307759721000019,Исполнение,"№ 
                                        
                                        21000418","2 368 057,50 ₽",145200000421000418
2770404312321000007,/epz/contract/contractCard/common-info.html?reestrNumber=2770404312321000007,Исполнение,"№ 
                                        
                                        02732000001210000030001","22 000 000,00 ₽",273200000121000003
2502412946821000058,/epz/contract/contractCard/common-info.html?reestrNumber=2502412946821000058,Исполнение,"№ 
                                        
                                        36/21","2 351 250,00 ₽",148200004921000035
2332909581221000004,/epz/contract/contractCard/common-info.html?reestrNumber=2332909581221000004,Исполнение завершено,"№ 
                                        
                                        04/21","80 000,00 ₽",128200000121002670
2366611244021000004,/epz/contract/contractCard/common-info.html?reestrNumber=2366611244021000004,Исполнение завершено,"№ 
                                        
                                        31","700 000,00 ₽",131200001021002552
2665850794721000001,/epz/contract/contractCard/common-info.html?reestrNumber=2665850794721000001,Исполнение,"№ 
                                        
                                        0162200011821000465","16 200 000,00 ₽",162200011821000465
2165542739521000044,/epz/contract/contractCard/common-info.html?reestrNumber=2165542739521000044,Исполнение прекращено,"№ 
                                        
                                        2021.015","3 701 000,00 ₽",811500001121000015
1773065447121000012,/epz/contract/contractCard/common-info.html?reestrNumber=1773065447121000012,Исполнение,"№ 
                                        
                                        01731000152210000020001","233 116 680,00 ₽",173100015221000002
1773602943521000021,/epz/contract/contractCard/common-info.html?reestrNumber=1773602943521000021,Исполнение завершено,"№ 
                                        
                                        0373100027521000006","1 234 200,00 ₽",373100027521000006
2370262166021000011,/epz/contract/contractCard/common-info.html?reestrNumber=2370262166021000011,Исполнение,"№ 
                                        
                                        44/2021","5 900 000,00 ₽",133200001721000820
2550119602521000033,/epz/contract/contractCard/common-info.html?reestrNumber=2550119602521000033,Исполнение,"№ 
                                        
                                        281-ЭА","999 999,40 ₽",152200004721000281
2490908578521000204,/epz/contract/contractCard/common-info.html?reestrNumber=2490908578521000204,Исполнение завершено,"№ 
                                        
                                        0147200000921000182","2 853 100,00 ₽",147200000921000182
2502413114621000004,/epz/contract/contractCard/common-info.html?reestrNumber=2502413114621000004,Исполнение завершено,"№ 
                                        
                                        10/06-21","1 530 000,00 ₽",348200026921000001
2753601057121000007,/epz/contract/contractCard/common-info.html?reestrNumber=2753601057121000007,Исполнение завершено,"№ 
                                        
                                        3618-ЭА","1 990 000,00 ₽",891200000621003517
1773010211021000057,/epz/contract/contractCard/common-info.html?reestrNumber=1773010211021000057,Исполнение завершено,"№ 
                                        
                                        019/ЦСМ/21","18 700 000,00 ₽",373100005021000019
1771437236721000023,/epz/contract/contractCard/common-info.html?reestrNumber=1771437236721000023,Исполнение,"№ 
                                        
                                        03731001359210000080001","1 900 000,00 ₽",373100135921000008
2332710117921000023,/epz/contract/contractCard/common-info.html?reestrNumber=2332710117921000023,Исполнение завершено,"№ 
                                        
                                        9А","5 400 000,00 ₽",128200000121002757
2165705230321000014,/epz/contract/contractCard/common-info.html?reestrNumber=2165705230321000014,Исполнение завершено,"№ 
                                        
                                        2021.11","194 500,00 ₽",311200049521000010
2254020256621000096,/epz/contract/contractCard/common-info.html?reestrNumber=2254020256621000096,Исполнение завершено,"№ 
                                        
                                        08205000008210022760001","2 850 000,00 ₽",820500000821002276
2890101721221000027,/epz/contract/contractCard/common-info.html?reestrNumber=2890101721221000027,Исполнение завершено,"№ 
                                        
                                        36-2021","7 967 714,25 ₽",190200000321003851
1771437236721000017,/epz/contract/contractCard/common-info.html?reestrNumber=1771437236721000017,Исполнение завершено,"№ 
                                        
                                        03731001359210000090001","19 499 526,67 ₽",373100135921000009
2402703033821000061,/epz/contract/contractCard/common-info.html?reestrNumber=2402703033821000061,Исполнение завершено,"№ 
                                        
                                        0137200001221001527-01","248 553,00 ₽",137200001221001527
2575304002621000009,/epz/contract/contractCard/common-info.html?reestrNumber=2575304002621000009,Исполнение,"№ 
                                        
                                        2","1 700 000,00 ₽",154200000721000288
2352535088221000006,/epz/contract/contractCard/common-info.html?reestrNumber=2352535088221000006,Исполнение,"№ 
                                        
                                        19-4к-2021","11 469 988,00 ₽",830500000221000760
2165705230321000013,/epz/contract/contractCard/common-info.html?reestrNumber=2165705230321000013,Исполнение завершено,"№ 
                                        
                                        2021.13","980 000,00 ₽",311200049521000012
2165542739521000052,/epz/contract/contractCard/common-info.html?reestrNumber=2165542739521000052,Исполнение,"№ 
                                        
                                        2021.016","5 917 593,06 ₽",811500001121000016
2770404312321000008,/epz/contract/contractCard/common-info.html?reestrNumber=2770404312321000008,Исполнение,"№ 
                                        
                                        02732000001210000040001","34 000 000,00 ₽",273200000121000004
3290401592821000011,/epz/contract/contractCard/common-info.html?reestrNumber=3290401592821000011,Исполнение,"№ 
                                        
                                        4","183 993,76 ₽",124300004821000005
2222510044921000005,/epz/contract/contractCard/common-info.html?reestrNumber=2222510044921000005,Исполнение,"№ 
                                        
                                        0817200000321004022","12 000 000,00 ₽",817200000321004022
2290109906021000005,/epz/contract/contractCard/common-info.html?reestrNumber=2290109906021000005,Исполнение,"№ 
                                        
                                        18/ЗК-44-2021-М","1 000 000,00 ₽",124200000621002130
2700000093421000063,/epz/contract/contractCard/common-info.html?reestrNumber=2700000093421000063,Исполнение,"№ 
                                        
                                        01652000001210000320001","3 767 595,00 ₽",165200000121000032
2165542739521000049,/epz/contract/contractCard/common-info.html?reestrNumber=2165542739521000049,Исполнение завершено,"№ 
                                        
                                        2021.017","40 875 412,50 ₽",811500001121000017
3246621501221000052,/epz/contract/contractCard/common-info.html?reestrNumber=3246621501221000052,Исполнение завершено,"№ 
                                        
                                        Ф.2021.0630","135 726 100,00 ₽",119300019821000630
2890101721221000026,/epz/contract/contractCard/common-info.html?reestrNumber=2890101721221000026,Исполнение завершено,"№ 
                                        
                                        35-2021","1 089 011,20 ₽",190200000321003978
2771066014921000050,/epz/contract/contractCard/common-info.html?reestrNumber=2771066014921000050,Исполнение завершено,"№ 
                                        
                                        0373200082121000240","26 450 000,00 ₽",373200082121000240
2312344604821000017,/epz/contract/contractCard/common-info.html?reestrNumber=2312344604821000017,Исполнение завершено,"№ 
                                        
                                        16","400 000,00 ₽",126200000421001434
3281200076021000005,/epz/contract/contractCard/common-info.html?reestrNumber=3281200076021000005,Исполнение завершено,"№ 
                                        
                                        7490414/0521","2 291 000,00 ₽",123300014621000027
2890101260921000006,/epz/contract/contractCard/common-info.html?reestrNumber=2890101260921000006,Исполнение завершено,"№ 
                                        
                                        89-02/01-19/28","2 029 500,00 ₽",190200000321004032
3502007893521000003,/epz/contract/contractCard/common-info.html?reestrNumber=3502007893521000003,Исполнение завершено,"№ 
                                        
                                        19-21","1 193 887,00 ₽",848300054821000071
