reestr_number,href,stage,description,price,order_number
2170105135821000009,/epz/contract/contractCard/common-info.html?reestrNumber=2170105135821000009,Исполнение завершено,"№ 
                                        
                                        2021/001099","6 993 382,16 ₽",112200000821001099
2170105135821000008,/epz/contract/contractCard/common-info.html?reestrNumber=2170105135821000008,Исполнение завершено,"№ 
                                        
                                        2021/001100","10 923 330,00 ₽",112200000821001100
2470312595621000023,/epz/contract/contractCard/common-info.html?reestrNumber=2470312595621000023,Исполнение,"№ 
                                        
                                        1096","6 300 000,00 ₽",145200000421000304
2623411636121000062,/epz/contract/contractCard/common-info.html?reestrNumber=2623411636121000062,Исполнение,"№ 
                                        
                                        08592000011210024410001","279 265,72 ₽",859200001121002441
2780103150021000020,/epz/contract/contractCard/common-info.html?reestrNumber=2780103150021000020,Исполнение,"№ 
                                        
                                        0372200135021000012","1 063 344,00 ₽",372200135021000012
2540664361121000018,/epz/contract/contractCard/common-info.html?reestrNumber=2540664361121000018,Исполнение завершено,"№ 
                                        
                                        0851200000621001296","745 000,00 ₽",851200000621001296
1772801635121000154,/epz/contract/contractCard/common-info.html?reestrNumber=1772801635121000154,Исполнение завершено,"№ 
                                        
                                        10У-21-А/44","1 301 433,00 ₽",373100059321000080
1772801635121000155,/epz/contract/contractCard/common-info.html?reestrNumber=1772801635121000155,Исполнение завершено,"№ 
                                        
                                        11У-21-А/44","712 800,00 ₽",373100059321000081
2165542739521000045,/epz/contract/contractCard/common-info.html?reestrNumber=2165542739521000045,Исполнение завершено,"№ 
                                        
                                        2021.011","1 454 400,00 ₽",811500001121000011
2770587414521000019,/epz/contract/contractCard/common-info.html?reestrNumber=2770587414521000019,Исполнение завершено,"№ 
                                        
                                        0373200081221000210","2 126 912,31 ₽",373200081221000210
2770996621321000020,/epz/contract/contractCard/common-info.html?reestrNumber=2770996621321000020,Исполнение завершено,"№ 
                                        
                                        22-44-ТГ/21","855 412,05 ₽",373200081221000210
2504713492221000027,/epz/contract/contractCard/common-info.html?reestrNumber=2504713492221000027,Исполнение,"№ 
                                        
                                        30/21","39 300 000,00 ₽",148000000121000011
2770382036021000018,/epz/contract/contractCard/common-info.html?reestrNumber=2770382036021000018,Исполнение завершено,"№ 
                                        
                                        0373200081221000212-ПР","2 924 751,20 ₽",373200081221000212
2121508098521000001,/epz/contract/contractCard/common-info.html?reestrNumber=2121508098521000001,Исполнение прекращено,"№ 
                                        
                                        1","1 609 910,00 ₽",308200005621000001
2770780719021000017,/epz/contract/contractCard/common-info.html?reestrNumber=2770780719021000017,Исполнение завершено,"№ 
                                        
                                        ОУЗ/0216-21","1 895 894,26 ₽",373200081221000216
2770284750621000019,/epz/contract/contractCard/common-info.html?reestrNumber=2770284750621000019,Исполнение завершено,"№ 
                                        
                                        0373200081221000216","923 248,62 ₽",373200081221000216
2330401955221000022,/epz/contract/contractCard/common-info.html?reestrNumber=2330401955221000022,Исполнение,"№ 
                                        
                                        40-ВЛ/21","3 000 000,00 ₽",128200000121002214
2772912320421000200,/epz/contract/contractCard/common-info.html?reestrNumber=2772912320421000200,Исполнение завершено,"№ 
                                        
                                        21/176","1 138 000,00 ₽",373200025621000176
2332901363321000009,/epz/contract/contractCard/common-info.html?reestrNumber=2332901363321000009,Исполнение,"№ 
                                        
                                        0128200000121002225","715 000,00 ₽",128200000121002225
1771053836421000013,/epz/contract/contractCard/common-info.html?reestrNumber=1771053836421000013,Исполнение,"№ 
                                        
                                        30-юр","7 000 000,00 ₽",173100008521000007
2470312595621000027,/epz/contract/contractCard/common-info.html?reestrNumber=2470312595621000027,Исполнение,"№ 
                                        
                                        937","980 000,00 ₽",845200000321000005
2344416428521000019,/epz/contract/contractCard/common-info.html?reestrNumber=2344416428521000019,Исполнение прекращено,"№ 
                                        
                                        49-21","23 423 088,00 ₽",129200005321000517
2344416428521000028,/epz/contract/contractCard/common-info.html?reestrNumber=2344416428521000028,Исполнение,"№ 
                                        
                                        58-21","1 300 000,00 ₽",129200005321000518
2332802376621000006,/epz/contract/contractCard/common-info.html?reestrNumber=2332802376621000006,Исполнение,"№ 
                                        
                                        0128200000121002234_354822_2","2 353 990,00 ₽",128200000121002234
2332802376621000004,/epz/contract/contractCard/common-info.html?reestrNumber=2332802376621000004,Исполнение прекращено,"№ 
                                        
                                        0128200000121002234_354822","2 342 230,00 ₽",128200000121002234
3744601194021000203,/epz/contract/contractCard/common-info.html?reestrNumber=3744601194021000203,Исполнение завершено,"№ 
                                        
                                        372","583 880,00 ₽",169300000321000541
2770880330421000021,/epz/contract/contractCard/common-info.html?reestrNumber=2770880330421000021,Исполнение завершено,"№ 
                                        
                                        0373200081221000227/КС","1 671 473,81 ₽",373200081221000227
2770137863621000024,/epz/contract/contractCard/common-info.html?reestrNumber=2770137863621000024,Исполнение завершено,"№ 
                                        
                                        44-БМ-2021-0227","948 783,77 ₽",373200081221000227
3666100466121000034,/epz/contract/contractCard/common-info.html?reestrNumber=3666100466121000034,Исполнение,"№ 
                                        
                                        ДИ.2021.553","9 730 000,00 ₽",162300005321000553
2890102503721000007,/epz/contract/contractCard/common-info.html?reestrNumber=2890102503721000007,Исполнение завершено,"№ 
                                        
                                        08-2021","5 170 000,00 ₽",190200000321003095
2470312595621000026,/epz/contract/contractCard/common-info.html?reestrNumber=2470312595621000026,Исполнение,"№ 
                                        
                                        3051","4 999 000,00 ₽",145200000421000326
3170104834821000009,/epz/contract/contractCard/common-info.html?reestrNumber=3170104834821000009,Исполнение,"№ 
                                        
                                        Ф.2021.041","5 880 000,00 ₽",312300017321000041
2291600075721000016,/epz/contract/contractCard/common-info.html?reestrNumber=2291600075721000016,Исполнение,"№ 
                                        
                                        13/2021","476 480,00 ₽",124200000621001519
2770135608621000051,/epz/contract/contractCard/common-info.html?reestrNumber=2770135608621000051,Исполнение,"№ 
                                        
                                        52/05/21","46 929 782,10 ₽",373200640921000007
1770216661021000017,/epz/contract/contractCard/common-info.html?reestrNumber=1770216661021000017,Исполнение завершено,"№ 
                                        
                                        16-04р-21-2829","30 000 000,00 ₽",173100008721000006
2650114465321000005,/epz/contract/contractCard/common-info.html?reestrNumber=2650114465321000005,Исполнение,"№ 
                                        
                                        5/2021","25 000 000,00 ₽",361200015021001422
2770135608621000053,/epz/contract/contractCard/common-info.html?reestrNumber=2770135608621000053,Исполнение,"№ 
                                        
                                        56/05/21","419 999 487,45 ₽",173200001421000458
2745131093921000024,/epz/contract/contractCard/common-info.html?reestrNumber=2745131093921000024,Исполнение завершено,"№ 
                                        
                                        Ф.2021.0852","1 597 500,00 ₽",869200000221000852
2780514528021000022,/epz/contract/contractCard/common-info.html?reestrNumber=2780514528021000022,Исполнение,"№ 
                                        
                                        0372200200521000006-55","128 453,21 ₽",372200200521000006
1222414444321000028,/epz/contract/contractCard/common-info.html?reestrNumber=1222414444321000028,Исполнение,"№ 
                                        
                                        18 ЭА","880 320,00 ₽",117100023021000018
2771087800021000038,/epz/contract/contractCard/common-info.html?reestrNumber=2771087800021000038,Исполнение,"№ 
                                        
                                        ГК 6401/21-3760","251 899 789,24 ₽",173200001421000468
2616304944421000008,/epz/contract/contractCard/common-info.html?reestrNumber=2616304944421000008,Исполнение,"№ 
                                        
                                        01582000003210000090001","630 000,00 ₽",158200000321000009
2462905259321000008,/epz/contract/contractCard/common-info.html?reestrNumber=2462905259321000008,Исполнение завершено,"№ 
                                        
                                        0744200000221001987","500 000,00 ₽",744200000221001987
3507200430021000001,/epz/contract/contractCard/common-info.html?reestrNumber=3507200430021000001,Исполнение завершено,"№ 
                                        
                                        0848300048321000029","1 506 674,56 ₽",848300048321000029
2026500793221000194,/epz/contract/contractCard/common-info.html?reestrNumber=2026500793221000194,Исполнение завершено,"№ 
                                        
                                        0131","330 312,00 ₽",301300280721000131
2770281924121000003,/epz/contract/contractCard/common-info.html?reestrNumber=2770281924121000003,Исполнение завершено,"№ 
                                        
                                        0Р5/18-05/21","9 349 200,00 ₽",373200613121000002
2732513366221000016,/epz/contract/contractCard/common-info.html?reestrNumber=2732513366221000016,Исполнение,"№ 
                                        
                                        04/23","6 000 000,00 ₽",168500000621000920
2745131093921000025,/epz/contract/contractCard/common-info.html?reestrNumber=2745131093921000025,Исполнение завершено,"№ 
                                        
                                        Ф.2021.0865","4 350 000,00 ₽",869200000221000865
2532102884021000054,/epz/contract/contractCard/common-info.html?reestrNumber=2532102884021000054,Исполнение завершено,"№ 
                                        
                                        0250200000121000031","18 013,63 ₽",250200000121000031
2780514300421000072,/epz/contract/contractCard/common-info.html?reestrNumber=2780514300421000072,Исполнение завершено,"№ 
                                        
                                        56/85-21","150 000,00 ₽",372200066221000029
3701719974021000005,/epz/contract/contractCard/common-info.html?reestrNumber=3701719974021000005,Исполнение завершено,"№ 
                                        
                                        2021.270","349 522,33 ₽",165300010521000270
2410112101621000004,/epz/contract/contractCard/common-info.html?reestrNumber=2410112101621000004,Исполнение,"№ 
                                        
                                        26/21-ГК","14 995 000,00 ₽",138200001821000003
2772313596521000004,/epz/contract/contractCard/common-info.html?reestrNumber=2772313596521000004,Исполнение прекращено,"№ 
                                        
                                        0373200266921000003_55287","262 649,00 ₽",373200266921000003
