reestr_number,href,stage,description,price,order_number
3250400178321000010,/epz/contract/contractCard/common-info.html?reestrNumber=3250400178321000010,Исполнение завершено,"№ 
                                        
                                        903/048-06/21","585 550,00 ₽",120300012721000044
1770335022721000005,/epz/contract/contractCard/common-info.html?reestrNumber=1770335022721000005,Исполнение,"№ 
                                        
                                        1","145 000 000,00 ₽",373100051621000001
2100104306221000004,/epz/contract/contractCard/common-info.html?reestrNumber=2100104306221000004,Исполнение,"№ 
                                        
                                        2аэф-21","3 375 272,49 ₽",306200012121000002
2100104306221000005,/epz/contract/contractCard/common-info.html?reestrNumber=2100104306221000005,Исполнение завершено,"№ 
                                        
                                        3аэф-21","6 009 534,12 ₽",306200012121000003
2380817182021000008,/epz/contract/contractCard/common-info.html?reestrNumber=2380817182021000008,Исполнение,"№ 
                                        
                                        ЭА.06.2021","2 800 000,00 ₽",134200000121000720
3502205440021000009,/epz/contract/contractCard/common-info.html?reestrNumber=3502205440021000009,Исполнение завершено,"№ 
                                        
                                        08483000411210000280001","449 467,92 ₽",848300041121000028
2170104889121000006,/epz/contract/contractCard/common-info.html?reestrNumber=2170104889121000006,Исполнение завершено,"№ 
                                        
                                        2021.0692","417 900,00 ₽",112200000821000692
2344416428521000009,/epz/contract/contractCard/common-info.html?reestrNumber=2344416428521000009,Исполнение,"№ 
                                        
                                        32-21","3 085 000,00 ₽",129200005321000315
2298300930721000025,/epz/contract/contractCard/common-info.html?reestrNumber=2298300930721000025,Исполнение завершено,"№ 
                                        
                                        0884200000621000009","2 673 000,00 ₽",884200000621000009
2230803001921000013,/epz/contract/contractCard/common-info.html?reestrNumber=2230803001921000013,Исполнение,"№ 
                                        
                                        21","3 300 000,00 ₽",818500000821001005
2301509334921000004,/epz/contract/contractCard/common-info.html?reestrNumber=2301509334921000004,Исполнение завершено,"№ 
                                        
                                        08255000007210000410001","10 032 680,00 ₽",825500000721000041
2890103836421000002,/epz/contract/contractCard/common-info.html?reestrNumber=2890103836421000002,Исполнение завершено,"№ 
                                        
                                        1884","1 200 000,00 ₽",190200000321001884
2201600388221000007,/epz/contract/contractCard/common-info.html?reestrNumber=2201600388221000007,Исполнение,"№ 
                                        
                                        ЭА/0906","20 458 415,00 ₽",194200000521000906
1770989550921002069,/epz/contract/contractCard/common-info.html?reestrNumber=1770989550921002069,Исполнение,"№ 
                                        
                                        ФКУ0105/04/2021/РИС","280 000 000,00 ₽",895100000121000022
2312344604821000010,/epz/contract/contractCard/common-info.html?reestrNumber=2312344604821000010,Исполнение завершено,"№ 
                                        
                                        9","9 100 000,00 ₽",126200000421000780
1770902424421000016,/epz/contract/contractCard/common-info.html?reestrNumber=1770902424421000016,Исполнение,"№ 
                                        
                                        002/ФРЦ/21","11 600 000,00 ₽",373100016421000002
3666100466121000026,/epz/contract/contractCard/common-info.html?reestrNumber=3666100466121000026,Исполнение завершено,"№ 
                                        
                                        ДИ.2021.347","1 100 000,00 ₽",162300005321000347
2771963160021000102,/epz/contract/contractCard/common-info.html?reestrNumber=2771963160021000102,Исполнение завершено,"№ 
                                        
                                        0373200101021000038_ЭК","2 500 000,00 ₽",373200101021000038
3631580082021000008,/epz/contract/contractCard/common-info.html?reestrNumber=3631580082021000008,Исполнение завершено,"№ 
                                        
                                        15","566 805,50 ₽",342300000121000240
2246619874421000012,/epz/contract/contractCard/common-info.html?reestrNumber=2246619874421000012,Исполнение завершено,"№ 
                                        
                                        212246619874424660100100380006201246","3 200 000,00 ₽",119200000121001285
2771482395821000016,/epz/contract/contractCard/common-info.html?reestrNumber=2771482395821000016,Исполнение,"№ 
                                        
                                        69-Р-041/21","28 250 000,00 ₽",873500000621000006
2150100317021000004,/epz/contract/contractCard/common-info.html?reestrNumber=2150100317021000004,Исполнение завершено,"№ 
                                        
                                        0310200000321000525_115151","500 000,00 ₽",310200000321000525
1770656053621000025,/epz/contract/contractCard/common-info.html?reestrNumber=1770656053621000025,Исполнение,"№ 
                                        
                                        0011-06-21","215 000 000,00 ₽",173100010921000011
1890102475621000050,/epz/contract/contractCard/common-info.html?reestrNumber=1890102475621000050,Исполнение завершено,"№ 
                                        
                                        87","410 105,76 ₽",390100007821000001
2770203815021000383,/epz/contract/contractCard/common-info.html?reestrNumber=2770203815021000383,Исполнение завершено,"№ 
                                        
                                        0173200001421000287","265 562 723,88 ₽",173200001421000287
2890101721221000018,/epz/contract/contractCard/common-info.html?reestrNumber=2890101721221000018,Исполнение завершено,"№ 
                                        
                                        25-2021","27 968 700,78 ₽",190200000321002159
2550307934121000013,/epz/contract/contractCard/common-info.html?reestrNumber=2550307934121000013,Исполнение завершено,"№ 
                                        
                                        Ф.2021.0119","5 710 000,00 ₽",152200004721000119
2344414509921000018,/epz/contract/contractCard/common-info.html?reestrNumber=2344414509921000018,Исполнение,"№ 
                                        
                                        53-21","12 300 450,00 ₽",129200005321000360
1771053836421000011,/epz/contract/contractCard/common-info.html?reestrNumber=1771053836421000011,Исполнение,"№ 
                                        
                                        27-юр","457 000 000,00 ₽",173100008521000006
2246503513721000119,/epz/contract/contractCard/common-info.html?reestrNumber=2246503513721000119,Исполнение завершено,"№ 
                                        
                                        0119200000121001410","1 091 866,67 ₽",119200000121001410
2780204545721000035,/epz/contract/contractCard/common-info.html?reestrNumber=2780204545721000035,Исполнение завершено,"№ 
                                        
                                        03722000409210000300001","149 970,00 ₽",372200040921000030
2682901896321000002,/epz/contract/contractCard/common-info.html?reestrNumber=2682901896321000002,Исполнение,"№ 
                                        
                                        0164200003021000647_47175","15 900 000,00 ₽",164200003021000647
3500800179921000009,/epz/contract/contractCard/common-info.html?reestrNumber=3500800179921000009,Исполнение,"№ 
                                        
                                        16-22.2021","360 000,00 ₽",848300057121000022
2165542739521000043,/epz/contract/contractCard/common-info.html?reestrNumber=2165542739521000043,Исполнение,"№ 
                                        
                                        2021.007","3 102 750,00 ₽",811500001121000007
1027500646221000050,/epz/contract/contractCard/common-info.html?reestrNumber=1027500646221000050,Исполнение,"№ 
                                        
                                        128","1 386 840,00 ₽",101100000921000027
2344414509921000020,/epz/contract/contractCard/common-info.html?reestrNumber=2344414509921000020,Исполнение,"№ 
                                        
                                        55-21","4 150 000,00 ₽",129200005321000382
2771482395821000024,/epz/contract/contractCard/common-info.html?reestrNumber=2771482395821000024,Исполнение прекращено,"№ 
                                        
                                        69-Р-050/21","78 700 000,00 ₽",173200001421000312
2770135608621000050,/epz/contract/contractCard/common-info.html?reestrNumber=2770135608621000050,Исполнение,"№ 
                                        
                                        50/05/21","65 000 000,00 ₽",173200001421000313
2470307759721000007,/epz/contract/contractCard/common-info.html?reestrNumber=2470307759721000007,Исполнение завершено,"№ 
                                        
                                        21000006","1 430 000,00 ₽",345200005921000006
2263680575921000011,/epz/contract/contractCard/common-info.html?reestrNumber=2263680575921000011,Исполнение,"№ 
                                        
                                        10/21-ОЭК","1 591 300,00 ₽",821200001521000003
3450102003721000005,/epz/contract/contractCard/common-info.html?reestrNumber=3450102003721000005,Исполнение,"№ 
                                        
                                        08435000002210005820001","747 576,00 ₽",843500000221000582
