reg_number,href,stage,law,description,organization,organization_href,start_price,start_time,update_time,end_time,okpd2
0895100000121000003,/epz/order/notice/ok504/view/common-info.html?regNumber=0895100000121000003,Определение поставщика завершено,"44-ФЗ
                                   Открытый конкурс в электронной форме","Оказание услуг по экспертизе результатов выполненной работы, оказанной услуги, а также отдельных этапов исполнения контрактов, заключаемых для обеспечения функций Федерального казначейства на создание, развитие и эксплуатацию информационных систем","ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ПО ОБЕСПЕЧЕНИЮ ДЕЯТЕЛЬНОСТИ КАЗНАЧЕЙСТВА РОССИИ""",/epz/organization/view/info.html?organizationId=1620643,"12 000 000,00 ₽",29.01.2021,05.03.2021,20.02.2021,8890627
0821400000121000010,/epz/order/notice/ea44/view/common-info.html?regNumber=0821400000121000010,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион","Оказание
услуг по техническому обслуживанию и регламентно-профилактическому ремонту
вычислительной техники, оргтехники, локально-вычислительных систем и систем
бесперебойного питания для обеспечения деятельности территориальных органов
Федерального казначейства и Межрегионального филиала ФКУ «ЦОКР» в г. Ставрополе","МЕЖРЕГИОНАЛЬНЫЙ ФИЛИАЛ ФЕДЕРАЛЬНОГО КАЗЕННОГО УЧРЕЖДЕНИЯ ""ЦЕНТР ПО ОБЕСПЕЧЕНИЮ ДЕЯТЕЛЬНОСТИ КАЗНАЧЕЙСТВА РОССИИ"" В Г. СТАВРОПОЛЕ",/epz/organization/view/info.html?organizationId=2177014,"8 425 605,44 ₽",19.02.2021,04.03.2021,01.03.2021,8890627
0119300019821000282,/epz/order/notice/zk504/view/common-info.html?regNumber=0119300019821000282,Определение поставщика завершено,"44-ФЗ
                                   Запрос котировок в электронной форме",Оказание услуг по защите информации на объектах информатизации,ДЕПАРТАМЕНТ МУНИЦИПАЛЬНОГО ЗАКАЗА АДМИНИСТРАЦИИ ГОРОДА КРАСНОЯРСКА,/epz/organization/view/info.html?organizationId=646091,"432 206,67 ₽",25.02.2021,17.03.2021,05.03.2021,8890627
0127100006921000004,/epz/order/notice/ea44/view/common-info.html?regNumber=0127100006921000004,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион","Услуги по проведению периодического контроля защищенности выделенных помещений, средств обработки информации и технических средств протоколирования судебных заседаний",АРБИТРАЖНЫЙ СУД ЦЕНТРАЛЬНОГО ОКРУГА,/epz/organization/view/info.html?organizationId=786495,"394 333,00 ₽",25.02.2021,11.03.2021,05.03.2021,8890627
0187300005821000107,/epz/order/notice/ea44/view/common-info.html?regNumber=0187300005821000107,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион",Оказание услуг по аттестации информационных систем персональных данных архива,АДМИНИСТРАЦИЯ ГОРОДА ЮГОРСКА,/epz/organization/view/info.html?organizationId=712204,"160 000,00 ₽",04.03.2021,23.03.2021,22.03.2021,8890627
0828100000721000111,/epz/order/notice/ea44/view/common-info.html?regNumber=0828100000721000111,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион","Оказание услуг по оценке технического состояния оборудования для обеспечения нужд Управления Федерального казначейства по Белгородской, Ивановской, Калужской, Костромской, Курской, Орловской, Смоленской, Тамбовской, Тверской, Тульской областям","МЕЖРЕГИОНАЛЬНЫЙ ФИЛИАЛ ФЕДЕРАЛЬНОГО КАЗЕННОГО УЧРЕЖДЕНИЯ ""ЦЕНТР ПО ОБЕСПЕЧЕНИЮ ДЕЯТЕЛЬНОСТИ КАЗНАЧЕЙСТВА РОССИИ"" В Г.ВЛАДИМИРЕ",/epz/organization/view/info.html?organizationId=2152290,"123 290,00 ₽",12.03.2021,26.03.2021,23.03.2021,8890627
0151400000521000002,/epz/order/notice/ea44/view/common-info.html?regNumber=0151400000521000002,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион",Аттестация помещений,КАССАЦИОННЫЙ ВОЕННЫЙ СУД,/epz/organization/view/info.html?organizationId=2246619,"216 000,00 ₽",16.03.2021,26.03.2021,24.03.2021,8890627
0188100002321000004,/epz/order/notice/ea44/view/common-info.html?regNumber=0188100002321000004,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион","Оказание услуг в области информационной безопасности (контроль аттестации автоматизированных рабочих мест) в целях защиты информации на объекте информатизации, обрабатывающие сведения, составляющие государственную тайну",АРБИТРАЖНЫЙ СУД ЧУКОТСКОГО АВТОНОМНОГО ОКРУГА,/epz/organization/view/info.html?organizationId=661328,"300 000,00 ₽",18.03.2021,29.03.2021,29.03.2021,8890627
0124300012821000028,/epz/order/notice/ea44/view/common-info.html?regNumber=0124300012821000028,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион",Техическая поддержа Дело ВЕБ,"АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА АРХАНГЕЛЬСКОЙ ОБЛАСТИ ""ГОРОД КОРЯЖМА""",/epz/organization/view/info.html?organizationId=648615,"320 720,00 ₽",23.03.2021,05.04.2021,02.04.2021,8890627
0117100015021000010,/epz/order/notice/ea44/view/common-info.html?regNumber=0117100015021000010,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион",Контроль защищенности автоматизированных рабочих мест,АРБИТРАЖНЫЙ СУД АЛТАЙСКОГО КРАЯ,/epz/organization/view/info.html?organizationId=694423,"200 000,00 ₽",23.03.2021,02.04.2021,31.03.2021,8890627
