reg_number,href,stage,law,description,organization,organization_href,start_price,start_time,update_time,end_time,okpd2
0173100007721000045,/epz/order/notice/ok504/view/common-info.html?regNumber=0173100007721000045,Определение поставщика завершено,"44-ФЗ
                                   Открытый конкурс в электронной форме",Оказание услуг по разработке и сопровождению интерактивных электронных сервисов Министерства культуры Российской Федерации в части осуществления расчетов финансового обеспечения государственных заданий на оказание государственных услуг подведомственными учреждениями,МИНИСТЕРСТВО КУЛЬТУРЫ РОССИЙСКОЙ ФЕДЕРАЦИИ,/epz/organization/view/info.html?organizationId=708819,"6 500 000,00 ₽",29.03.2021,21.04.2021,20.04.2021,8890638
0173100007721000093,/epz/order/notice/ok504/view/common-info.html?regNumber=0173100007721000093,Определение поставщика завершено,"44-ФЗ
                                   Открытый конкурс в электронной форме",Развитие и эксплуатация АИС «Единое информационное пространство в сфере культуры» и обеспечению методической поддержки ее внедрения в учреждениях культуры,МИНИСТЕРСТВО КУЛЬТУРЫ РОССИЙСКОЙ ФЕДЕРАЦИИ,/epz/organization/view/info.html?organizationId=708819,"27 080 000,00 ₽",27.05.2021,21.06.2021,21.06.2021,8890638
0173100007721000094,/epz/order/notice/ok504/view/common-info.html?regNumber=0173100007721000094,Определение поставщика завершено,"44-ФЗ
                                   Открытый конкурс в электронной форме",Выполнение работ по развитию и сопровождению единой информационной системы поддержки оказания государственных услуг Минкультуры России,МИНИСТЕРСТВО КУЛЬТУРЫ РОССИЙСКОЙ ФЕДЕРАЦИИ,/epz/organization/view/info.html?organizationId=708819,"17 100 000,00 ₽",28.05.2021,29.06.2021,22.06.2021,8890638
0173100007721000097,/epz/order/notice/ok504/view/common-info.html?regNumber=0173100007721000097,Определение поставщика завершено,"44-ФЗ
                                   Открытый конкурс в электронной форме","Оказание услуг по сопровождению, развитию и модернизации единого интернет-портала для популяризации культурного наследия и традиций народов России",МИНИСТЕРСТВО КУЛЬТУРЫ РОССИЙСКОЙ ФЕДЕРАЦИИ,/epz/organization/view/info.html?organizationId=708819,"33 201 400,00 ₽",02.06.2021,02.07.2021,25.06.2021,8890638
0318200008721000001,/epz/order/notice/ea44/view/common-info.html?regNumber=0318200008721000001,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион","Услуга по информационному обновлению и сопровождению программного продукта "" Комплексная система автоматизации управления бюджетных учреждениями ""Талисман- SQL""","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ КРАСНОДАРСКОГО КРАЯ ""ТИМАШЕВСКАЯ ЦЕНТРАЛИЗОВАННАЯ БУХГАЛТЕРИЯ УЧРЕЖДЕНИЙ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ""",/epz/organization/view/info.html?organizationId=704199,"389 831,80 ₽",10.06.2021,30.06.2021,28.06.2021,8890638
0173100007721000103,/epz/order/notice/ok504/view/common-info.html?regNumber=0173100007721000103,Определение поставщика завершено,"44-ФЗ
                                   Открытый конкурс в электронной форме",Эксплуатация Единой аналитической системы Минкультуры России,МИНИСТЕРСТВО КУЛЬТУРЫ РОССИЙСКОЙ ФЕДЕРАЦИИ,/epz/organization/view/info.html?organizationId=708819,"4 500 000,00 ₽",11.06.2021,06.07.2021,06.07.2021,8890638
0173100007721000104,/epz/order/notice/ok504/view/common-info.html?regNumber=0173100007721000104,Определение поставщика завершено,"44-ФЗ
                                   Открытый конкурс в электронной форме",Эксплуатация и развитие системы учета продажи билетов,МИНИСТЕРСТВО КУЛЬТУРЫ РОССИЙСКОЙ ФЕДЕРАЦИИ,/epz/organization/view/info.html?organizationId=708819,"4 000 000,00 ₽",11.06.2021,13.07.2021,06.07.2021,8890638
0173100007721000107,/epz/order/notice/ok504/view/common-info.html?regNumber=0173100007721000107,Определение поставщика завершено,"44-ФЗ
                                   Открытый конкурс в электронной форме",Развитие и эксплуатация единой интеграционной платформы Минкультуры России,МИНИСТЕРСТВО КУЛЬТУРЫ РОССИЙСКОЙ ФЕДЕРАЦИИ,/epz/organization/view/info.html?organizationId=708819,"4 000 000,00 ₽",17.06.2021,12.07.2021,12.07.2021,8890638
0173100007721000149,/epz/order/notice/ok504/view/common-info.html?regNumber=0173100007721000149,Определение поставщика завершено,"44-ФЗ
                                   Открытый конкурс в электронной форме",Эксплуатация АИС «Единое информационное пространство в сфере культуры» для реализации программы социальной поддержки повышения доступности организаций культуры для молодежи в возрасте от 14 до 22 лет.,МИНИСТЕРСТВО КУЛЬТУРЫ РОССИЙСКОЙ ФЕДЕРАЦИИ,/epz/organization/view/info.html?organizationId=708819,"39 900 000,00 ₽",02.09.2021,27.09.2021,24.09.2021,8890638
0173100007721000196,/epz/order/notice/ok504/view/common-info.html?regNumber=0173100007721000196,Определение поставщика завершено,"44-ФЗ
                                   Открытый конкурс в электронной форме",Выполнение работ по развитию и сопровождению процессов оказания государственных услуг и функций Минкультуры России в электронном виде,МИНИСТЕРСТВО КУЛЬТУРЫ РОССИЙСКОЙ ФЕДЕРАЦИИ,/epz/organization/view/info.html?organizationId=708819,"32 000 000,00 ₽",04.10.2021,26.10.2021,26.10.2021,8890638
0173100007721000197,/epz/order/notice/ok504/view/common-info.html?regNumber=0173100007721000197,Определение поставщика завершено,"44-ФЗ
                                   Открытый конкурс в электронной форме","Оказание услуг по эксплуатации, сопровождению, развитию и модернизации единого интернет-портала для популяризации культурного наследия и традиций народов России",МИНИСТЕРСТВО КУЛЬТУРЫ РОССИЙСКОЙ ФЕДЕРАЦИИ,/epz/organization/view/info.html?organizationId=708819,"51 701 400,00 ₽",04.10.2021,26.10.2021,26.10.2021,8890638
0173100007721000198,/epz/order/notice/ok504/view/common-info.html?regNumber=0173100007721000198,Определение поставщика завершено,"44-ФЗ
                                   Открытый конкурс в электронной форме",Оказание услуг по развитию и эксплуатации АИС «Единое информационное пространство в сфере культуры» и обеспечению методической поддержки ее внедрения в учреждениях культуры,МИНИСТЕРСТВО КУЛЬТУРЫ РОССИЙСКОЙ ФЕДЕРАЦИИ,/epz/organization/view/info.html?organizationId=708819,"24 168 220,00 ₽",04.10.2021,26.10.2021,26.10.2021,8890638
0168300013021000736,/epz/order/notice/ea44/view/common-info.html?regNumber=0168300013021000736,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион",Оказание услуг по ремонту Муниципальной автоматизированной системы централизованного оповещения города Димитровграда,УПРАВЛЕНИЕ ФИНАНСОВ И МУНИЦИПАЛЬНЫХ ЗАКУПОК ГОРОДА ДИМИТРОВГРАДА УЛЬЯНОВСКОЙ ОБЛАСТИ,/epz/organization/view/info.html?organizationId=686626,"410 460,00 ₽",13.10.2021,21.10.2021,21.10.2021,8890638
0372200057221000102,/epz/order/notice/ea44/view/common-info.html?regNumber=0372200057221000102,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион","Оказание услуг по обслуживанию автоматической пожарной сигнализации и систем оповещения, охранной сигнализации, систем контроля управления доступом (домофоны), комплекса технических средств тревожной сигнализации (КТС и РКТС), СВН и обеспечению функционирования элементов СПИ ЦАСПИ для передачи извещений о пожарах и чрезвычайных ситуациях","САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ПОДРОСТКОВО-МОЛОДЕЖНЫЙ ЦЕНТР ПЕТРОДВОРЦОВОГО РАЙОНА САНКТ-ПЕТЕРБУРГА""",/epz/organization/view/info.html?organizationId=630024,"1 580 800,00 ₽",18.11.2021,01.12.2021,26.11.2021,8890638
0332300185021000065,/epz/order/notice/ea44/view/common-info.html?regNumber=0332300185021000065,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион",Оказание услуг по продлению и поставке программного обеспечения,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ НИЖЕГОРОДСКОЙ ОБЛАСТИ ""БОЛЬНИЦА СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ Г. ДЗЕРЖИНСКА""",/epz/organization/view/info.html?organizationId=690458,"130 936,43 ₽",25.11.2021,03.12.2021,03.12.2021,8890638
