reg_number,href,stage,law,description,organization,organization_href,start_price,start_time,update_time,end_time,okpd2
0375200010121000032,/epz/order/notice/ea44/view/common-info.html?regNumber=0375200010121000032,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион","Оказание услуг по обслуживанию, модернизации, а также информационно-консультативные услуги, эксплуатируемой информационной системы ""Централизованное управление предприятием"" для нужд ГБУ РК ""Крыммелиоводхоз"" и его филиалов","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ КРЫМ ""КРЫМСКОЕ УПРАВЛЕНИЕ ВОДНОГО ХОЗЯЙСТВА И МЕЛИОРАЦИИ""",/epz/organization/view/info.html?organizationId=2134830,"3 573 826,50 ₽",18.02.2021,02.03.2021,26.02.2021,8890628
0372200161021000002,/epz/order/notice/ea44/view/common-info.html?regNumber=0372200161021000002,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион","Оказание  услуг по передаче неисключительных прав использования электронной системы ""госфинансы""",ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 17 ВАСИЛЕОСТРОВСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА,/epz/organization/view/info.html?organizationId=689307,"110 000,00 ₽",24.02.2021,05.03.2021,05.03.2021,8890628
0120300008821000031,/epz/order/notice/ea44/view/common-info.html?regNumber=0120300008821000031,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион","Актуализация текстовой информации в экземплярах Специальных Выпусков Систем КонсультантПлюс по состоянию на момент заключения Контракта и оказание информационных услуг с использованием экземпляров Специальных Выпусков Систем КонсультантПлюс на основе специального лицензионного программного обеспечения, обеспечивающего совместимость информационных услуг с установленными в Думе Лесозаводского городского округа экземплярами Специальных Выпусков Систем",АДМИНИСТРАЦИЯ ЛЕСОЗАВОДСКОГО ГОРОДСКОГО ОКРУГА,/epz/organization/view/info.html?organizationId=619784,"528 604,80 ₽",25.02.2021,09.03.2021,05.03.2021,8890628
0311100008321000006,/epz/order/notice/ea44/view/common-info.html?regNumber=0311100008321000006,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион",Оказание услуг по внедрению программы SciOffice,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""КАЗАНСКИЙ ГОСУДАРСТВЕННЫЙ АГРАРНЫЙ УНИВЕРСИТЕТ""",/epz/organization/view/info.html?organizationId=611580,"1 100 000,00 ₽",04.03.2021,15.03.2021,12.03.2021,8890628
0372200002421000048,/epz/order/notice/ea44/view/common-info.html?regNumber=0372200002421000048,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион","Оказание услуг по обучению сотрудников СПб ГБУ ""КЦСОН Красносельского района"" в области информационных технологий по сопровождению программы ""1С: Бухгалтерия государственного учреждения 8"" и ""1С: Зарплата и кадры государственного учреждения 8"" в 2021 году","САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""КОМПЛЕКСНЫЙ ЦЕНТР СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ НАСЕЛЕНИЯ КРАСНОСЕЛЬСКОГО РАЙОНА""",/epz/organization/view/info.html?organizationId=706070,"110 000,00 ₽",17.03.2021,26.03.2021,25.03.2021,8890628
0108200001121000002,/epz/order/notice/ea44/view/common-info.html?regNumber=0108200001121000002,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион",Услуги консультативные по вопросам систем и программному обеспечению; Услуги по сопровождению компьютерных систем; Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение,ГОСУДАРСТВЕННОЕ СОБРАНИЕ РЕСПУБЛИКИ МАРИЙ ЭЛ,/epz/organization/view/info.html?organizationId=693103,"529 833,33 ₽",22.03.2021,01.04.2021,30.03.2021,8890628
0179200001921000178,/epz/order/notice/zk504/view/common-info.html?regNumber=0179200001921000178,Определение поставщика завершено,"44-ФЗ
                                   Запрос котировок в электронной форме",Оказание услуг по информационному обслуживанию программного продукта «Парус-Бюджет 10»,УПРАВЛЕНИЕ КАРАЧАЕВО-ЧЕРКЕССКОЙ РЕСПУБЛИКИ В СФЕРЕ ЗАКУПОК,/epz/organization/view/info.html?organizationId=737596,"180 000,00 ₽",29.03.2021,15.04.2021,06.04.2021,8890628
0168500000621000920,/epz/order/notice/ok504/view/common-info.html?regNumber=0168500000621000920,Определение поставщика завершено,"44-ФЗ
                                   Открытый конкурс в электронной форме",Сопровождение и развитие государственной информационной системы обеспечения градостроительной деятельности Ульяновской области,АГЕНТСТВО ГОСУДАРСТВЕННЫХ ЗАКУПОК УЛЬЯНОВСКОЙ ОБЛАСТИ,/epz/organization/view/info.html?organizationId=2264222,"6 000 000,00 ₽",30.03.2021,22.04.2021,21.04.2021,8890628
0173100001521000018,/epz/order/notice/ok504/view/common-info.html?regNumber=0173100001521000018,Определение поставщика завершено,"44-ФЗ
                                   Открытый конкурс в электронной форме",Обучение должностных лиц таможенных органов в области обеспечения безопасности информации,ФЕДЕРАЛЬНАЯ ТАМОЖЕННАЯ СЛУЖБА,/epz/organization/view/info.html?organizationId=669405,"9 220 000,00 ₽",13.04.2021,18.05.2021,11.05.2021,8890628
0820500000821002829,/epz/order/notice/ea44/view/common-info.html?regNumber=0820500000821002829,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион",Выполнение работ по переводу исполнительных органов государственной власти Приморского края на использование отечественного офисного программного обеспечения,"КРАЕВОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ГОСУДАРСТВЕННЫХ ЗАКУПОК ПРИМОРСКОГО КРАЯ""",/epz/organization/view/info.html?organizationId=2258214,"5 195 410,00 ₽",29.04.2021,19.05.2021,13.05.2021,8890628
