reg_number,href,stage,law,description,organization,organization_href,start_price,start_time,update_time,end_time,okpd2
0394300078721000002,/epz/order/notice/ea44/view/common-info.html?regNumber=0394300078721000002,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион",Содержание сайта в информационно-коммуникационной сети Интернет,"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""ШЕЛКОВСКАЯ РАЙОННАЯ ГАЗЕТА ""ТЕРСКАЯ НОВЬ""",/epz/organization/view/info.html?organizationId=994585,"440 000,00 ₽",15.01.2021,27.01.2021,25.01.2021,8890648
0394300078721000004,/epz/order/notice/ea44/view/common-info.html?regNumber=0394300078721000004,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион",Оказание услуг по рекламному сопровождению Instagram.,"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""ШЕЛКОВСКАЯ РАЙОННАЯ ГАЗЕТА ""ТЕРСКАЯ НОВЬ""",/epz/organization/view/info.html?organizationId=994585,"385 000,00 ₽",18.01.2021,28.01.2021,26.01.2021,8890648
0175300007621000003,/epz/order/notice/ea44/view/common-info.html?regNumber=0175300007621000003,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион",Оказание услуг по техническому обслуживанию и сопровождению официального сайта Администрации города Керчи Республики Крым в сети Интернет,АДМИНИСТРАЦИЯ ГОРОДА КЕРЧИ РЕСПУБЛИКИ КРЫМ,/epz/organization/view/info.html?organizationId=2136932,"220 000,00 ₽",18.01.2021,29.01.2021,26.01.2021,8890648
0158300035621000001,/epz/order/notice/zk504/view/common-info.html?regNumber=0158300035621000001,Определение поставщика завершено,"44-ФЗ
                                   Запрос котировок в электронной форме",приобретение услуг предоставления доступа к сети Интернет Милютинского района «Информационное общество»,АДМИНИСТРАЦИЯ МИЛЮТИНСКОГО РАЙОНА РОСТОВСКОЙ ОБЛАСТИ,/epz/organization/view/info.html?organizationId=670137,"245 884,70 ₽",20.01.2021,04.02.2021,28.01.2021,8890648
0134300027321000001,/epz/order/notice/ea44/view/common-info.html?regNumber=0134300027321000001,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион","Оказание информационных услуг с использованием экземпляров Систем КонсультантПлюс на основе специального лицензионного программного обеспечения, обеспечивающего совместимость информационных услуг с установленными у заказчика экземплярами Систем КонсультантПлюс",АДМИНИСТРАЦИЯ КАЗАЧИНСКО-ЛЕНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА,/epz/organization/view/info.html?organizationId=801080,"270 116,00 ₽",21.01.2021,02.02.2021,29.01.2021,8890648
0832200000421000004,/epz/order/notice/ea44/view/common-info.html?regNumber=0832200000421000004,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион","Оказание услуг по информированию нижегородцев о государственных услугах, предоставляемых органами государственной власти, о реализации проектов, направленных на социально-экономическое развитие Нижегородской области на Интернет-ресурсе информационного агентства или на страницах сетевого издания в сети Интернет в 2021 году","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ НИЖЕГОРОДСКОЙ ОБЛАСТИ ""ПРЕСС-СЛУЖБА ПРАВИТЕЛЬСТВА НИЖЕГОРОДСКОЙ ОБЛАСТИ""",/epz/organization/view/info.html?organizationId=904627,"498 560,00 ₽",21.01.2021,01.02.2021,29.01.2021,8890648
0832200000421000005,/epz/order/notice/ea44/view/common-info.html?regNumber=0832200000421000005,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион","Оказание услуг по информированию нижегородцев о государственных услугах, предоставляемых органами государственной власти, о реализации проектов, направленных на социально-экономическое развитие Нижегородской области на Интернет-ресурсе информационного агентства или на страницах сетевого издания в сети Интернет в 2021 году","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ НИЖЕГОРОДСКОЙ ОБЛАСТИ ""ПРЕСС-СЛУЖБА ПРАВИТЕЛЬСТВА НИЖЕГОРОДСКОЙ ОБЛАСТИ""",/epz/organization/view/info.html?organizationId=904627,"498 560,00 ₽",21.01.2021,29.01.2021,29.01.2021,8890648
0832200000421000006,/epz/order/notice/ea44/view/common-info.html?regNumber=0832200000421000006,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион","Оказание услуг по информированию нижегородцев о государственных услугах, предоставляемых органами государственной власти, о реализации проектов, направленных на социально-экономическое развитие Нижегородской области на Интернет-ресурсе информационного агентства или на страницах сетевого издания в сети Интернет в 2021 году","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ НИЖЕГОРОДСКОЙ ОБЛАСТИ ""ПРЕСС-СЛУЖБА ПРАВИТЕЛЬСТВА НИЖЕГОРОДСКОЙ ОБЛАСТИ""",/epz/organization/view/info.html?organizationId=904627,"498 560,00 ₽",21.01.2021,01.02.2021,29.01.2021,8890648
0818600005721000008,/epz/order/notice/ea44/view/common-info.html?regNumber=0818600005721000008,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион",Абонемент на техническое обслуживание единой системы учета объектов и не налоговых доходов,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ МУНИЦИПАЛЬНЫМИ ЗАКУПКАМИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ БРЮХОВЕЦКИЙ РАЙОН""",/epz/organization/view/info.html?organizationId=2234545,"218 787,53 ₽",25.01.2021,02.02.2021,02.02.2021,8890648
0194200000521000078,/epz/order/notice/ea44/view/common-info.html?regNumber=0194200000521000078,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион",Услуга ГАРАНТ,КОМИТЕТ ПРАВИТЕЛЬСТВА ЧЕЧЕНСКОЙ РЕСПУБЛИКИ ПО ГОСУДАРСТВЕННОМУ ЗАКАЗУ,/epz/organization/view/info.html?organizationId=660045,"385 000,00 ₽",29.01.2021,08.02.2021,08.02.2021,8890648
0190200000321000401,/epz/order/notice/ea44/view/common-info.html?regNumber=0190200000321000401,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион",Оказание услуг по сопровождению и обслуживанию интернет-сайта ТФОМС ЯНАО,ДЕПАРТАМЕНТ ГОСУДАРСТВЕННОГО ЗАКАЗА ЯМАЛО-НЕНЕЦКОГО АВТОНОМНОГО ОКРУГА,/epz/organization/view/info.html?organizationId=711308,"235 000,00 ₽",29.01.2021,16.02.2021,10.02.2021,8890648
0158200002521000002,/epz/order/notice/ok504/view/common-info.html?regNumber=0158200002521000002,Определение поставщика завершено,"44-ФЗ
                                   Открытый конкурс в электронной форме",Услуги по освещению деятельности Законодательного Собрания Ростовской области в средствах массовой информации (на сайтах сетевых изданий и сайтах в информационно-телекоммуникационной сети «Интернет»),ЗАКОНОДАТЕЛЬНОЕ СОБРАНИЕ РОСТОВСКОЙ ОБЛАСТИ,/epz/organization/view/info.html?organizationId=717018,"9 092 035,00 ₽",31.01.2021,20.02.2021,20.02.2021,8890648
0120300006521000013,/epz/order/notice/ea44/view/common-info.html?regNumber=0120300006521000013,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион",Оказание информационных услуг в электронном периодическом издании сети Интернет,АДМИНИСТРАЦИЯ УССУРИЙСКОГО ГОРОДСКОГО ОКРУГА,/epz/organization/view/info.html?organizationId=718069,"450 000,00 ₽",01.02.2021,12.02.2021,09.02.2021,8890648
0120300006521000014,/epz/order/notice/ea44/view/common-info.html?regNumber=0120300006521000014,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион",Оказание информационных услуг в сетевом издании в сети Интернет,АДМИНИСТРАЦИЯ УССУРИЙСКОГО ГОРОДСКОГО ОКРУГА,/epz/organization/view/info.html?organizationId=718069,"450 000,00 ₽",01.02.2021,12.02.2021,09.02.2021,8890648
0122300007221000001,/epz/order/notice/zk504/view/common-info.html?regNumber=0122300007221000001,Определение поставщика завершено,"44-ФЗ
                                   Запрос котировок в электронной форме",Оказание услуг по сопровождение системы Консультант плюс,"АДМИНИСТРАЦИЯ ГОРОДСКОГО ПОСЕЛЕНИЯ ""РАБОЧИЙ ПОСЕЛОК МНОГОВЕРШИННЫЙ"" НИКОЛАЕВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА ХАБАРОВСКОГО КРАЯ",/epz/organization/view/info.html?organizationId=694579,"189 244,66 ₽",02.02.2021,10.02.2021,10.02.2021,8890648
0154200000721000048,/epz/order/notice/ea44/view/common-info.html?regNumber=0154200000721000048,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион","Услуги по администрированию и технической поддержке интернет-сайта ""Инвестиционный портал Орловской области""",ДЕПАРТАМЕНТ ЭКОНОМИЧЕСКОГО РАЗВИТИЯ И ИНВЕСТИЦИОННОЙ ДЕЯТЕЛЬНОСТИ ОРЛОВСКОЙ ОБЛАСТИ,/epz/organization/view/info.html?organizationId=671336,"210 000,00 ₽",05.02.2021,18.02.2021,15.02.2021,8890648
0118200002021000002,/epz/order/notice/ea44/view/common-info.html?regNumber=0118200002021000002,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион",Услуга по информационному и техническому сопровождению информационного ресурса о санаторно-курортном и туристском потенциале Краснодарского края,"МИНИСТЕРСТВО КУРОРТОВ, ТУРИЗМА И ОЛИМПИЙСКОГО НАСЛЕДИЯ КРАСНОДАРСКОГО КРАЯ",/epz/organization/view/info.html?organizationId=629436,"414 968,50 ₽",10.02.2021,26.02.2021,18.02.2021,8890648
0173300004421000002,/epz/order/notice/ea44/view/common-info.html?regNumber=0173300004421000002,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион",Оказание услуг по системному обслуживанию информационной системы официального Интернет-представительства муниципального округа Метрогородок,АППАРАТ СОВЕТА ДЕПУТАТОВ МУНИЦИПАЛЬНОГО ОКРУГА МЕТРОГОРОДОК,/epz/organization/view/info.html?organizationId=707253,"100 000,00 ₽",10.02.2021,26.02.2021,19.02.2021,8890648
0321300001121000034,/epz/order/notice/ok504/view/common-info.html?regNumber=0321300001121000034,Определение поставщика завершено,"44-ФЗ
                                   Открытый конкурс в электронной форме",Услуги по обеспечению функционирования официального информационного ресурса администрации города Ставрополя,КОМИТЕТ МУНИЦИПАЛЬНОГО ЗАКАЗА И ТОРГОВЛИ АДМИНИСТРАЦИИ ГОРОДА СТАВРОПОЛЯ,/epz/organization/view/info.html?organizationId=641924,"516 890,00 ₽",11.02.2021,12.03.2021,11.03.2021,8890648
0187300014721000053,/epz/order/notice/ea44/view/common-info.html?regNumber=0187300014721000053,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион",Оказание услуг по информационному сопровождению деятельности Думы Сургутского района в информационно-телекоммуникационной сети Интернет,АДМИНИСТРАЦИЯ СУРГУТСКОГО РАЙОНА,/epz/organization/view/info.html?organizationId=712700,"140 000,00 ₽",12.02.2021,04.03.2021,03.03.2021,8890648
0104500000221000001,/epz/order/notice/ea44/view/common-info.html?regNumber=0104500000221000001,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион",Оказание услуг по сопровождению и технической поддержке системы электронного документооборота Кабардино-Балкарской Республики,МИНИСТЕРСТВО ЦИФРОВОГО РАЗВИТИЯ КАБАРДИНО-БАЛКАРСКОЙ РЕСПУБЛИКИ,/epz/organization/view/info.html?organizationId=2256367,"1 880 000,00 ₽",12.02.2021,26.02.2021,20.02.2021,8890648
0122300006121000092,/epz/order/notice/ea44/view/common-info.html?regNumber=0122300006121000092,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион",Подготовка и размещение материалов о реализации городских программ на сайте СМИ в сети Интернет,АДМИНИСТРАЦИЯ ГОРОДА ХАБАРОВСКА,/epz/organization/view/info.html?organizationId=712955,"800 000,00 ₽",17.02.2021,25.02.2021,25.02.2021,8890648
0122300006121000097,/epz/order/notice/ea44/view/common-info.html?regNumber=0122300006121000097,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион",Подготовка и размещение информационных материалов о социально-экономическом развитии города на сайте сетевого издания в сети Интернет,АДМИНИСТРАЦИЯ ГОРОДА ХАБАРОВСКА,/epz/organization/view/info.html?organizationId=712955,"400 000,00 ₽",17.02.2021,25.02.2021,25.02.2021,8890648
