reg_number,href,stage,law,description,organization,organization_href,start_price,start_time,update_time,end_time,okpd2
0188300000921000002,/epz/order/notice/ea44/view/common-info.html?regNumber=0188300000921000002,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион","Оказание услуг по сопровождению Электронного периодического справочника ""Система ГАРАНТ""",АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ЭГВЕКИНОТ,/epz/organization/view/info.html?organizationId=795244,"262 156,83 ₽",11.01.2021,20.01.2021,19.01.2021,8890641
0888600000421000001,/epz/order/notice/ea44/view/common-info.html?regNumber=0888600000421000001,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион",Оказание услуг по сопровождению Электронного периодического справочника «Система ГАРАНТ»,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ТЕХНИЧЕСКОГО ОБЕСПЕЧЕНИЯ И ЭКСПЛУАТАЦИИ ИМУЩЕСТВА АНАДЫРСКОГО МУНИЦИПАЛЬНОГО РАЙОНА""",/epz/organization/view/info.html?organizationId=2248546,"799 980,00 ₽",11.01.2021,19.01.2021,19.01.2021,8890641
0120200003921000001,/epz/order/notice/ea44/view/common-info.html?regNumber=0120200003921000001,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион",Оказание услуг по актуализации текстовой информации в экземплярах Специальных Выпусков Систем КонсультантПлюс и информационных услуг с использованием экземпляров Специальных Выпусков Систем КонсультантПлюс,КОНТРОЛЬНО-СЧЕТНАЯ ПАЛАТА ПРИМОРСКОГО КРАЯ,/epz/organization/view/info.html?organizationId=1538876,"789 307,20 ₽",12.01.2021,26.01.2021,20.01.2021,8890641
0888600001121000003,/epz/order/notice/ea44/view/common-info.html?regNumber=0888600001121000003,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион","Услуги по сопровождению Электронного периодического справочника ""Система ГАРАНТ""","МУНИЦИПАЛЬНОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ДЕЛАМИ АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ БИЛИБИНСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН""",/epz/organization/view/info.html?organizationId=2253181,"282 703,68 ₽",14.01.2021,22.01.2021,22.01.2021,8890641
0318300017521000002,/epz/order/notice/ea44/view/common-info.html?regNumber=0318300017521000002,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион",Оказание услуг по сопровождению Электронного периодического справочника «Система ГАРАНТ» (информационного продукта вычислительной техники),АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ УСТЬ-ЛАБИНСКИЙ РАЙОН,/epz/organization/view/info.html?organizationId=635141,"402 585,26 ₽",15.01.2021,02.02.2021,28.01.2021,8890641
0818600005721000001,/epz/order/notice/ea44/view/common-info.html?regNumber=0818600005721000001,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион","Сопровождение установленного Электронного периодического справочника ""Система ГАРАНТ"" (информационный продукт вычислительной техники)","МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ МУНИЦИПАЛЬНЫМИ ЗАКУПКАМИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ БРЮХОВЕЦКИЙ РАЙОН""",/epz/organization/view/info.html?organizationId=2234545,"173 325,86 ₽",18.01.2021,26.01.2021,26.01.2021,8890641
0818600005721000002,/epz/order/notice/ea44/view/common-info.html?regNumber=0818600005721000002,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион",Сопровождение электронного периодического справочника «Система Консультант Плюс»,"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ МУНИЦИПАЛЬНЫМИ ЗАКУПКАМИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ БРЮХОВЕЦКИЙ РАЙОН""",/epz/organization/view/info.html?organizationId=2234545,"158 253,33 ₽",18.01.2021,27.01.2021,26.01.2021,8890641
0372200134921000003,/epz/order/notice/ea44/view/common-info.html?regNumber=0372200134921000003,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион","Оказание услуг по обслуживанию программно-технического Комплекса 1С: Зарплата и кадры бюджетного учреждения 8, Расширение (модуль) «Тарификация», 1С: Бухгалтерия государственного учреждения, услуги по модификации, обслуживанию и доработки программного продукта «Тарификация»-2 (свидетельство Роспатента № 2018616974) в 2021 году.","САНКТ-ПЕТЕРБУРГСКОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""РОДИЛЬНЫЙ ДОМ № 1 (СПЕЦИАЛИЗИРОВАННЫЙ)""",/epz/organization/view/info.html?organizationId=646481,"600 000,00 ₽",18.01.2021,26.01.2021,26.01.2021,8890641
0102100003621000001,/epz/order/notice/zk504/view/common-info.html?regNumber=0102100003621000001,Определение поставщика завершено,"44-ФЗ
                                   Запрос котировок в электронной форме",Услуги по сканированию входящих дел,АРБИТРАЖНЫЙ СУД РЕСПУБЛИКИ БУРЯТИЯ,/epz/organization/view/info.html?organizationId=613365,"400 000,00 ₽",18.01.2021,02.02.2021,26.01.2021,8890641
0318300526221000001,/epz/order/notice/ea44/view/common-info.html?regNumber=0318300526221000001,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион","Оказание услуг по сопровождению установленного Электронного периодического справочника ""Система ГАРАНТ""",УПРАВЛЕНИЕ ЭКОНОМИКИ АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ КАЛИНИНСКИЙ РАЙОН,/epz/organization/view/info.html?organizationId=686835,"247 371,96 ₽",21.01.2021,29.01.2021,29.01.2021,8890641
0129200005321000005,/epz/order/notice/ea44/view/common-info.html?regNumber=0129200005321000005,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион",Оказание услуг по организации онлайн-голосования за проекты местных инициатив населения Волгоградской области,КОМИТЕТ ПО РЕГУЛИРОВАНИЮ КОНТРАКТНОЙ СИСТЕМЫ В СФЕРЕ ЗАКУПОК ВОЛГОГРАДСКОЙ ОБЛАСТИ,/epz/organization/view/info.html?organizationId=2132646,"4 270 000,00 ₽",21.01.2021,04.02.2021,29.01.2021,8890641
0888600000521000001,/epz/order/notice/ea44/view/common-info.html?regNumber=0888600000521000001,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион","оказание услуг по сопровождению Электронного периодического справочника ""Система ГАРАНТ""","МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ДЕЛАМИ И АРХИВАМИ АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ЧУКОТСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН""",/epz/organization/view/info.html?organizationId=2248547,"630 014,28 ₽",21.01.2021,03.02.2021,03.02.2021,8890641
0188300002121000001,/epz/order/notice/ea44/view/common-info.html?regNumber=0188300002121000001,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион",Оказание услуг по сопровождению Электронного периодического справочника «Система ГАРАНТ»,АДМИНИСТРАЦИЯ ПРОВИДЕНСКОГО ГОРОДСКОГО ОКРУГА ЧУКОТСКОГО АВТОНОМНОГО ОКРУГА,/epz/organization/view/info.html?organizationId=718183,"215 032,84 ₽",21.01.2021,01.02.2021,29.01.2021,8890641
0318300028421000001,/epz/order/notice/ea44/view/common-info.html?regNumber=0318300028421000001,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион","Сопровождение установленного Электронного периодического справочника ""Система ГАРАНТ"" (информационный продукт вычислительной техники)",АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ДИНСКОЙ РАЙОН,/epz/organization/view/info.html?organizationId=635704,"279 582,82 ₽",21.01.2021,01.02.2021,29.01.2021,8890641
0309200000221000001,/epz/order/notice/ea44/view/common-info.html?regNumber=0309200000221000001,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион",Оказание услуг по предоставлению информации о скорости движении транспортных средств на контролируемых участках автомобильных дорог общего пользования регионального или межмуниципального значения Республики Мордовия.,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ АВТОМОБИЛЬНЫХ ДОРОГ РЕСПУБЛИКИ МОРДОВИЯ""",/epz/organization/view/info.html?organizationId=614465,"20 000 000,00 ₽",22.01.2021,01.02.2021,01.02.2021,8890641
0162600003621000001,/epz/order/notice/ea44/view/common-info.html?regNumber=0162600003621000001,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион","Оказание услуг по оцифровке архивных документов, находящихся на хранении в архиве администрации Шалинского городского округа",АДМИНИСТРАЦИЯ ШАЛИНСКОГО ГОРОДСКОГО ОКРУГА,/epz/organization/view/info.html?organizationId=2179764,"293 125,00 ₽",22.01.2021,03.02.2021,01.02.2021,8890641
0373100135421000001,/epz/order/notice/ok504/view/common-info.html?regNumber=0373100135421000001,Определение поставщика завершено,"44-ФЗ
                                   Открытый конкурс в электронной форме",Оказание услуг по информационному обеспечению деятельности Минкультуры России,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ГЛАВНЫЙ ИНФОРМАЦИОННО-ВЫЧИСЛИТЕЛЬНЫЙ ЦЕНТР МИНИСТЕРСТВА КУЛЬТУРЫ РОССИЙСКОЙ ФЕДЕРАЦИИ""",/epz/organization/view/info.html?organizationId=2166309,"12 000 000,00 ₽",22.01.2021,20.02.2021,15.02.2021,8890641
0356500002421000007,/epz/order/notice/ea44/view/common-info.html?regNumber=0356500002421000007,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион",ЗАПИСЬ ПАЦИЕНТОВ НА ПРИЕМ С ИСПОЛЬЗОВАНИЕМ ИНФОРМАЦИОННОЙ СИСТЕМЫ,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ПЕРМСКОГО КРАЯ ""ЧЕРНУШИНСКАЯ РАЙОННАЯ БОЛЬНИЦА""",/epz/organization/view/info.html?organizationId=2224826,"736 918,00 ₽",25.01.2021,08.02.2021,05.02.2021,8890641
0118300004521000002,/epz/order/notice/ea44/view/common-info.html?regNumber=0118300004521000002,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион","Сопровождение установленного электронного периодического справочника ""Система ГАРАНТ"" (информационный продукт вычислительной техники)",АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ КАВКАЗСКИЙ РАЙОН,/epz/organization/view/info.html?organizationId=618605,"323 932,00 ₽",25.01.2021,04.02.2021,03.02.2021,8890641
