reg_number,href,stage,law,description,organization,organization_href,start_price,start_time,update_time,end_time,okpd2
0169300024821000004,/epz/order/notice/ea44/view/common-info.html?regNumber=0169300024821000004,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион",Оказание услуг по информационному обслуживанию экземпляров справочно-правовой системы «Консультант Плюс»,АДМИНИСТРАЦИЯ КРАСНОАРМЕЙСКОГО МУНИЦИПАЛЬНОГО РАЙОНА,/epz/organization/view/info.html?organizationId=731251,"230 000,00 ₽",15.01.2021,25.01.2021,25.01.2021,8890630
0121600003821000002,/epz/order/notice/ea44/view/common-info.html?regNumber=0121600003821000002,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион","Оказание информационных услуг с использованием экземпляров систем КонсультантПлюс на основе специального лицензионного программного обеспечения, обеспечивающего совместимость информационных услуг с установленными у администрации Новоалександровского городского округа Ставропольского края экземплярами систем КонсультантПлюс в 2021 году",АДМИНИСТРАЦИЯ НОВОАЛЕКСАНДРОВСКОГО ГОРОДСКОГО ОКРУГА СТАВРОПОЛЬСКОГО КРАЯ,/epz/organization/view/info.html?organizationId=2217085,"246 743,97 ₽",15.01.2021,25.01.2021,25.01.2021,8890630
0375200031521000001,/epz/order/notice/ea44/view/common-info.html?regNumber=0375200031521000001,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион",Оказание консультационных услуг по сопровождению и модификации (изменению программного кода) единого комплекса программных средств,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ КРЫМ ""ЧЕРНОМОРСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""",/epz/organization/view/info.html?organizationId=2140100,"550 400,00 ₽",17.01.2021,26.01.2021,26.01.2021,8890630
0375200030021000001,/epz/order/notice/ea44/view/common-info.html?regNumber=0375200030021000001,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион","Оказание услуг по сопровождению ранее приобретенного комплекта Электронного периодического справочника ""Система ГАРАНТ-Максимум"" для нужд ГБУ РК ""Многофункциональный центр предоставления государственных и муниципальных услуг""","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ КРЫМ ""МНОГОФУНКЦИОНАЛЬНЫЙ ЦЕНТР ПРЕДОСТАВЛЕНИЯ ГОСУДАРСТВЕННЫХ И МУНИЦИПАЛЬНЫХ УСЛУГ""",/epz/organization/view/info.html?organizationId=2140002,"206 305,00 ₽",18.01.2021,26.01.2021,26.01.2021,8890630
0553600015521000003,/epz/order/notice/ea44/view/common-info.html?regNumber=0553600015521000003,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион","Оказание услуги по комплексному сопровождению программных продуктов ""1С: Предприятие""","МУНИЦИПАЛЬНОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""ВОДОКАНАЛИЗАЦИОННОЕ ХОЗЯЙСТВО Г.БУЗУЛУКА""",/epz/organization/view/info.html?organizationId=2198251,"227 333,37 ₽",18.01.2021,26.01.2021,26.01.2021,8890630
0380300033921000001,/epz/order/notice/ea44/view/common-info.html?regNumber=0380300033921000001,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион","Оказание информационных
услуг с использованием экземпляров Систем КонсультантПлюс на основе
специального лицензионного программного обеспечения, обеспечивающего
совместимость информационных услуг с установленными в Управлении образования
администрации Аскизского района экземплярами Систем КонсультантПлюс (в том
числе Стационарной копией Системы КонсультантПлюс) для нужд Управления
образования администрации Аскизского района","МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ОБРАЗОВАНИЯ АДМИНИСТРАЦИИ АСКИЗСКОГО РАЙОНА""",/epz/organization/view/info.html?organizationId=738464,"228 008,00 ₽",19.01.2021,27.01.2021,27.01.2021,8890630
0121600003821000004,/epz/order/notice/ea44/view/common-info.html?regNumber=0121600003821000004,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион","Оказание информационных услуг с использованием экземпляров систем КонсультантПлюс на основе специального лицензионного программного обеспечения, обеспечивающего совместимость информационных услуг с установленными у МБУ ""МФЦ НГО"" экземплярами систем КонсультантПлюс в 2021 году",АДМИНИСТРАЦИЯ НОВОАЛЕКСАНДРОВСКОГО ГОРОДСКОГО ОКРУГА СТАВРОПОЛЬСКОГО КРАЯ,/epz/organization/view/info.html?organizationId=2217085,"174 529,96 ₽",19.01.2021,27.01.2021,27.01.2021,8890630
0875500000121000001,/epz/order/notice/ea44/view/common-info.html?regNumber=0875500000121000001,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион","Консультационные услуги по использованию ПП ""Парус"" в рамках обслуживания в облачном сервисе ЕЦСБУ в 2021 году","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ КРЫМ ""ЦЕНТР СОЦИАЛЬНЫХ ВЫПЛАТ, МОДЕРНИЗАЦИИ И УКРЕПЛЕНИЯ МАТЕРИАЛЬНО-ТЕХНИЧЕСКОЙ БАЗЫ УЧРЕЖДЕНИЙ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ И ЗАНЯТОСТИ В РЕСПУБЛИКЕ КРЫМ""",/epz/organization/view/info.html?organizationId=2185931,"100 000,00 ₽",19.01.2021,03.02.2021,02.02.2021,8890630
0318300065121000007,/epz/order/notice/ea44/view/common-info.html?regNumber=0318300065121000007,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион",Оказание  услуг  по информационному обновлению и сопровождению программного продукта «Комплексная система автоматизации управления бюджетными учреждениями «Талисман 2.0»,АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ АБИНСКИЙ РАЙОН,/epz/organization/view/info.html?organizationId=657661,"379 045,30 ₽",20.01.2021,02.02.2021,28.01.2021,8890630
0321200005921000006,/epz/order/notice/ea44/view/common-info.html?regNumber=0321200005921000006,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион","оказание информационных услуг с использованием экземпляров Систем КонсультантПлюс на основе специального лицензионного программного обеспечения, обеспечивающего совместимость информационных услуг с установленными у заказчика экземплярами Систем КонсультантПлюс","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СТАВРОПОЛЬСКОГО КРАЯ ""КРАЕВОЙ КЛИНИЧЕСКИЙ КОЖНО-ВЕНЕРОЛОГИЧЕСКИЙ ДИСПАНСЕР""",/epz/organization/view/info.html?organizationId=673807,"250 964,41 ₽",20.01.2021,02.02.2021,28.01.2021,8890630
0102100006821000001,/epz/order/notice/ea44/view/common-info.html?regNumber=0102100006821000001,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион","Оказание услуг по установке и
сопровождению информационно-справочной системы для нужд Следственного
управления Следственного комитета Российской Федерации по Республике Бурятия",СЛЕДСТВЕННОЕ УПРАВЛЕНИЕ СЛЕДСТВЕННОГО КОМИТЕТА РОССИЙСКОЙ ФЕДЕРАЦИИ ПО РЕСПУБЛИКЕ БУРЯТИЯ,/epz/organization/view/info.html?organizationId=813602,"154 000,00 ₽",20.01.2021,01.02.2021,28.01.2021,8890630
0321200022021000007,/epz/order/notice/ea44/view/common-info.html?regNumber=0321200022021000007,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион",Оказание информационных услуг на обслуживание СПС КонсультантПлюс для обеспечения нужд Ставропольского края,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СТАВРОПОЛЬСКОГО КРАЯ ""СТАВРОПОЛЬСКАЯ КРАЕВАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА""",/epz/organization/view/info.html?organizationId=789900,"629 353,78 ₽",21.01.2021,04.02.2021,29.01.2021,8890630
0813500000121000035,/epz/order/notice/ea44/view/common-info.html?regNumber=0813500000121000035,Определение поставщика завершено,"44-ФЗ
                                   Электронный аукцион",№ зз-00414-2021 Оказание информационных услуг с использованием справочно-правовой системы,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ УДМУРТСКОЙ РЕСПУБЛИКИ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ЗАКУПОК УДМУРТСКОЙ РЕСПУБЛИКИ""",/epz/organization/view/info.html?organizationId=2218389,"197 333,30 ₽",21.01.2021,29.01.2021,29.01.2021,8890630
